Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
GUG,BE,35,30,49,26,14,15,8,11,10
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,22,20,42,22,11,12,7,10,9
GUG,BE,13,10,7,4,3,3,1,1,1
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,17,46,34,29,20,11,10,8,13
GUG,BE,1,2,1,1,1,1,0,0,0
GUG,BE,7,23,11,11,6,1,1,3,8
GUG,BE,0,2,2,3,2,0,0,0,0
GUG,BE,3,9,7,5,4,3,3,2,2
GUG,BE,5,11,14,9,7,7,4,2,2
GUG,BE,0,0,0,0,0,0,0,0,0
GUG,BE,14,21,20,9,8,3,3,3,3
GUG,BE,0,0,0,0,0,0,0,0,1
GUG,BE,14,21,19,9,8,3,3,2,2
GUG,BE,0,0,0,0,0,0,0,0,0
GUR,BE,263,288,306,306,237,227,352,328,313
GUR,BE,0,0,0,0,0,0,0,0,0
GUR,BE,0,0,0,0,0,0,0,0,0
GUR,BE,10,3,5,5,7,28,26,33,31
GUR,BE,0,0,0,0,0,0,0,0,0
GUR,BE,5,0,0,1,0,11,11,23,16
GUR,BE,5,3,5,4,7,17,15,10,15
GUR,BE,0,0,0,0,0,0,0,0,0
GUR,BE,0,0,0,0,0,0,0,0,0
GUR,BE,252,283,299,300,227,197,325,294,281
GUR,BE,2,6,7,11,13,3,5,7,10
GUR,BE,212,180,184,215,159,153,223,191,171
GUR,BE,4,34,59,40,34,21,60,62,73
GUR,BE,29,41,37,24,14,14,33,24,21
GUR,BE,4,22,11,10,8,6,4,9,6
GUR,BE,0,0,1,0,0,0,0,0,0
GUR,BE,2,1,2,1,3,2,2,1,1
GUR,BE,0,0,0,0,0,0,0,0,0
GUR,BE,1,1,1,1,3,2,2,1,1
GUR,BE,0,0,0,0,0,0,0,0,0
GUU,BE,730,624,671,438,448,436,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,183,116,148,77,79,83,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,43,28,109,27,14,11,0,0,0
GUU,BE,140,87,39,50,64,72,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
GUU,BE,0,0,0,0,0,0,0,0,0
